Timestamp,X-Axis-plate,Y-Axis-plate,Z-Axis-plate,X-Axis-extrusion,Y-Axis-extrusion,Z-Axis-extrusion,Tension
1572437370323,-0.95,-0.18,9.595,1.727,0.205,-9.294,346.5
1572437370323,-0.287,-0.126,9.638,-0.319,0.949,-10.462,345.3
1572437370323,-0.389,-0.275,9.503,-2.52,1.8,-9.643,343.1
1572437370339,-0.37,-0.136,9.406,1.366,-1.338,-10.104,349.3
1572437370339,-0.186,-0.229,9.74,0.806,1.329,-9.735,347.3
1572437370339,-0.285,-0.105,9.518,-0.176,0.257,-9.948,348.6
1572437370339,-0.162,-0.276,9.444,-0.659,0.129,-10.435,344.2
1572437370355,-0.149,-0.135,9.563,-0.946,-0.21,-8.967,354.2
1572437370355,-0.285,-0.198,9.467,1.296,1.599,-10.691,348.8
1572437370355,-0.145,-0.231,9.532,0.189,0.309,-9.271,343.1
1572437370370,-0.168,-0.206,9.51,-2.205,-0.515,-11.52,345.9
1572437370370,-0.81,-0.216,9.707,-0.362,0.301,-9.162,345.0
1572437370370,-0.205,-0.273,9.434,2.329,1.492,-10.343,345.5
1572437370386,-0.228,-0.53,9.629,-0.644,0.132,-9.798,342.8
1572437370386,-0.113,-0.254,9.556,-1.884,-0.673,-10.705,341.8
1572437370386,-0.154,-0.142,9.663,-0.91,-0.277,-9.263,344.6
1572437370402,-0.217,-0.237,9.432,1.9,2.127,-10.537,346.1
1572437370402,-0.192,-0.166,9.61,-0.376,0.156,-9.245,353.6
1572437370402,-0.131,-0.286,9.572,-1.709,-1.664,-9.762,345.7
1572437370417,-0.113,-0.2,9.415,0.954,0.502,-10.425,351.9
1572437370417,-0.287,-0.147,9.714,0.131,1.16,-9.112,343.3
1572437370417,-0.183,-0.141,9.565,-0.528,0.643,-11.196,345.3
1572437370433,-0.58,-0.246,9.64,0.64,-0.3,-9.81,347.5
1572437370433,-0.124,-0.87,9.581,-0.205,-1.357,-11.104,346.5
1572437370433,-0.235,-0.119,9.539,-0.46,0.48,-9.582,352.0
1572437370448,-0.153,-0.339,9.604,0.682,1.168,-9.743,346.4
1572437370448,-0.258,-0.338,9.446,0.15,-0.263,-10.498,349.3
1572437370448,-0.169,0.36,9.593,-1.334,-1.732,-9.249,348.2
1572437370464,-0.12,-0.33,9.604,1.31,1.339,-10.319,352.0
1572437370464,-0.287,-0.303,9.443,-0.284,1.559,-9.506,347.7
1572437370464,-0.164,-0.41,9.604,0.345,-0.982,-10.491,347.0
1572437370464,-0.176,-0.185,9.474,-0.693,-0.832,-9.752,345.8
1572437370479,-0.205,-0.265,9.575,0.955,0.67,-9.439,342.7
1572437370479,-0.255,-0.184,9.571,0.744,0.447,-10.62,346.5
1572437370479,-0.196,-0.105,9.562,-0.693,-0.539,-10.28,347.1
1572437370495,-0.171,-0.298,9.638,0.374,-1.257,-10.188,349.7
1572437370495,-0.228,-0.187,9.402,-0.385,0.408,-9.707,347.6
1572437370495,-0.219,-0.214,9.641,1.792,0.793,-9.515,356.9
1572437370511,-0.141,-0.166,9.536,-0.469,0.415,-9.831,346.6
1572437370511,-0.197,-0.75,9.521,0.65,-2.131,-10.115,347.1
1572437370511,-0.258,-0.313,9.492,0.55,0.591,-9.609,342.4
1572437370527,-0.184,-0.239,9.665,1.274,1.701,-9.563,347.6
1572437370527,-0.211,-0.12,9.568,-0.64,-0.817,-9.774,351.7
1572437370527,-0.306,-0.15,9.32,0.344,-0.943,-10.415,345.6
1572437370542,-0.132,-0.181,9.651,0.611,-0.301,-9.2,350.7
1572437370542,-0.184,-0.206,9.612,0.932,1.397,-9.804,349.8
