Timestamp,X-Axis-plate,Y-Axis-plate,Z-Axis-plate,X-Axis-extrusion,Y-Axis-extrusion,Z-Axis-extrusion,Tension
1575294124501,-0.3,-0.269,9.622,0.351,0.581,-9.73,313.7
1575294124506,-0.213,-0.188,9.561,0.206,-0.57,-9.856,328.0
1575294124511,-0.16,-0.419,9.702,6.454,2.509,-8.303,317.1
1575294124516,-0.361,0.17,9.524,1.904,-1.14,-11.516,322.7
1575294124521,-0.317,0.104,9.621,-2.7,1.38,-8.445,314.2
1575294124526,-0.179,-0.459,9.641,-1.104,0.449,-10.502,317.8
1575294124531,0.3,-0.17,9.449,2.516,-1.186,-9.289,317.9
1575294124536,-0.365,-0.39,9.643,0.596,1.549,-10.8,314.7
1575294124541,-0.87,-0.167,9.538,-1.114,-0.78,-8.524,312.6
1575294124546,-0.317,-0.318,9.503,-0.114,0.314,-10.29,312.5
1575294124551,-0.275,-0.65,9.649,1.22,0.442,-9.739,322.0
1575294124556,-0.185,-0.204,9.701,1.553,0.342,-10.99,323.8
1575294124561,-0.232,-0.146,9.468,-0.412,0.204,-9.726,319.7
1575294124566,-0.2,-0.127,9.707,-0.704,-0.23,-9.988,316.0
1575294124571,-0.28,-0.286,9.753,0.784,0.841,-8.979,318.6
1575294124576,-0.127,-0.164,9.282,0.544,0.368,-10.269,316.5
1575294124581,-0.16,-0.479,9.791,0.586,-0.194,-9.616,312.8
1575294124586,-0.372,0.74,9.435,-0.905,0.744,-9.506,313.6
1575294124591,-0.52,-0.287,9.604,0.713,0.234,-10.137,314.0
1575294124596,-0.179,-0.243,9.692,1.326,0.566,-9.562,314.8
1575294124601,-0.219,0.53,9.461,-0.867,-0.141,-9.863,314.5
1575294124606,-0.167,-0.518,9.764,-0.7,0.792,-9.673,315.6
1575294124611,-0.152,-0.142,9.657,0.611,0.44,-9.604,317.4
1575294124616,-0.86,-0.241,9.465,0.471,-0.602,-10.546,315.1
1575294124621,-0.147,-0.432,9.87,0.283,1.54,-9.69,314.5
1575294124626,-0.229,0.16,9.469,-0.96,0.313,-10.59,318.7
1575294124631,-0.115,-0.304,9.642,0.59,-0.14,-9.863,322.4
1575294124636,-0.142,-0.161,9.881,0.396,0.769,-9.559,319.5
1575294124641,-0.12,-0.102,9.367,0.421,0.216,-10.297,318.3
1575294124646,-0.131,-0.35,9.729,-0.158,0.341,-9.596,318.6
1575294124651,-0.165,-0.245,9.656,0.375,0.71,-9.354,316.8
1575294124656,-0.122,-0.196,9.438,-0.456,0.79,-10.618,319.2
1575294124661,-0.281,-0.94,9.808,-3.213,-0.774,-9.765,320.2
1575294124666,-0.26,0.57,9.38,-7.766,-1.663,-11.28,321.3
1575294124671,-0.149,-0.519,9.759,-3.773,4.748,-8.409,325.5
1575294124676,-0.16,-0.289,9.665,0.303,3.784,-10.386,314.8
1575294124681,-0.179,0.348,9.212,-4.572,-2.708,-10.188,323.8
1575294124686,-0.177,-0.485,10.36,-4.151,0.59,-8.734,317.7
1575294124691,-0.472,-0.206,9.297,-2.433,4.361,-9.751,331.0
1575294124696,-0.315,-0.73,9.506,0.838,-0.96,-10.633,319.8
1575294124702,0.249,-0.364,9.556,5.97,-3.192,-9.481,317.1
1575294124707,-0.162,-0.146,9.413,5.508,-0.561,-9.629,322.6
1575294124711,-0.637,-0.129,9.897,1.117,0.813,-8.956,319.4
1575294124716,-0.333,0.33,9.44,1.44,0.271,-10.671,316.3
1575294124721,0.23,-0.316,9.481,4.429,-1.992,-9.324,319.9
1575294124726,-0.133,-0.391,9.703,5.42,-0.414,-10.681,320.8
1575294124731,-0.443,-0.144,9.651,0.688,-0.15,-9.6,326.1
1575294124737,-0.75,0.41,9.454,0.106,-5.3,-10.464,319.1
1575294124742,-0.136,-0.449,9.657,1.447,-0.85,-10.315,320.1
1575294124747,-0.61,-0.351,9.737,0.134,4.935,-8.988,320.1
1575294124751,-0.203,0.47,9.351,-1.574,-1.165,-10.4,320.8
1575294124756,0.263,-0.243,9.482,2.541,-3.57,-9.226,316.9
1575294124761,-0.3,-0.7,9.598,-0.842,0.402,-9.424,316.9
1575294124766,-0.486,-0.6,9.727,-1.554,3.117,-9.907,327.8
1575294124771,-0.76,-0.403,9.629,2.611,0.452,-9.989,323.1
1575294124776,-0.105,-0.273,9.577,0.213,-1.502,-9.941,314.4
1575294124781,-0.32,-0.87,9.621,-1.167,-0.553,-8.814,323.1
1575294124786,-0.192,-0.287,9.499,1.122,2.66,-11.163,323.3
1575294124791,-0.85,-0.276,9.739,1.123,0.786,-9.196,327.5
1575294124796,-0.249,0.48,9.675,-1.265,-0.82,-10.183,318.7
1575294124801,-0.182,-0.228,9.676,0.503,0.844,-9.483,322.8
1575294124806,-0.104,-0.296,9.593,1.517,0.308,-10.169,318.1
1575294124811,-0.23,-0.173,9.593,-0.863,0.97,-9.586,326.0
1575294124816,-0.138,-0.202,9.536,-0.504,0.284,-9.472,317.4
1575294124821,-0.122,-0.347,9.548,1.362,0.716,-10.816,320.4
1575294124826,-0.201,-0.8,9.723,-0.62,0.447,-8.911,318.5
1575294124831,-0.205,-0.54,9.619,-0.604,-0.278,-10.72,323.8
1575294124836,-0.8,-0.279,9.705,0.739,1.87,-9.28,320.2
1575294124841,-0.163,-0.192,9.582,0.906,-0.42,-10.513,320.2
1575294124846,-0.267,-0.151,9.692,-0.341,0.313,-9.148,319.0
1575294124851,-0.236,-0.277,9.544,-0.556,3.253,-9.655,327.2
1575294124856,-0.169,-0.265,9.669,0.76,5.698,-9.699,315.7
1575294124861,-0.301,-0.124,9.58,-2.377,6.756,-8.65,319.9
1575294124866,-0.14,0.9,9.606,-2.31,0.806,-9.352,318.0
1575294124871,0.7,-0.279,9.513,0.992,2.142,-10.566,323.7
1575294124876,-0.499,-0.227,9.488,-1.455,4.972,-9.317,322.8
1575294124881,-0.525,-0.286,9.629,-2.757,4.854,-10.244,319.2
1575294124886,0.225,-0.128,9.279,1.326,-2.508,-9.952,313.7
1575294124891,0.122,-0.11,10.14,5.457,-9.36,-8.933,322.3
1575294124896,-0.481,-0.92,9.507,0.187,-1.658,-9.839,320.8
1575294124901,-0.759,-0.468,9.75,-1.653,3.596,-9.776,323.0
1575294124906,0.0,-0.252,9.145,1.452,-2.37,-10.715,318.5
1575294124911,0.32,0.76,9.888,1.569,-7.684,-9.695,322.1
1575294124916,-0.413,-0.61,9.773,0.498,0.754,-9.343,323.7
1575294124921,-0.153,-0.63,9.427,0.871,-1.693,-10.269,321.7
1575294124926,-0.102,-0.269,9.731,0.149,-4.217,-10.232,323.0
1575294124931,-0.517,-0.36,9.631,-0.572,2.77,-8.927,324.1
1575294124937,-0.122,-0.378,9.529,0.129,1.434,-9.733,318.1
1575294124941,0.19,-0.22,9.631,3.52,-1.742,-9.898,317.8
1575294124947,-0.1,0.263,9.663,-0.125,0.9,-10.369,319.9
1575294124952,-0.411,-0.271,9.523,-1.245,1.509,-8.976,324.0
1575294124956,-0.218,-0.308,9.634,1.251,0.79,-10.473,320.3
